0 20140001 student1 19 M caculus 10000001 5 95
0 20140002 student2 18 F caculus 10000001 5 90
0 20140003 student3 20 M caculus 10000001 5 95
0 20140001 student1 19 M linear 10000002 4 80
0 20140001 student1 19 M computer 10000003 2 75
1 20140002 student2 18 F career 20000001 2 P
1 20140001 student1 19 M career 20000001 2 F
0 20140001 student1 19 M physics 10000004 4 45
0 20140004 student4 18 F physics 10000004 4 75
0 20140004 student4 18 F computer 10000003 2 35
0 20140003 student3 20 M linear 10000002 4 55
1 20140004 student4 18 F career 20000001 2 F
-858993460 -858993460  -858993460 Ì  -858993460 -858993460 Ì
-858993460 -858993460  -858993460 Ì  -858993460 -858993460 Ì
-858993460 -858993460  -858993460 Ì  -858993460 -858993460 Ì
-858993460 -858993460  -858993460 Ì  -858993460 -858993460 Ì
-858993460 -858993460  -858993460 Ì  -858993460 -858993460 Ì
-858993460 -858993460  -858993460 Ì  -858993460 -858993460 Ì
